name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.01305790003491622,0.0,0.00106268276437822,1.1102230246251565e-16,0.018430174229353516,1.1102230246251565e-16,5.421010862427522e-20
liveJournal-top2,0.0,0.0002508418016650443,0.0,0.0,0.0,0.0,1.1102230246251565e-16
citeseer,0.0010941438569925619,3.806394768721903e-05,0.15117928923742097,0.0,0.003360885509804261,0.0,0.0
cora,0.0016149171302427198,0.010766212000334235,0.0023687045104260106,0.00022510204248278322,0.0025291212600134193,0.0029339475247132647,0.00034673483866653115
mnist,0.0064957923954785625,0.01730356668564485,6.187414914077788e-05,0.00011067693264637981,6.902741770424653e-06,0.00198469389970195,9.390891723361779e-05
fashionmnist,0.004733544085596403,0.006198691758272133,0.0003491018392431672,0.00014061048273187056,0.017577371529820467,0.0,8.934400040780617e-05
cifar10,0.0006202694540912554,0.021548191737757485,0.00010628621243466974,0.0,0.007996336049914262,0.004886551418511837,0.0004973687355961376
