name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.06605988126961282,0.8101380229389481,0.6587140405964398,0.8101381188525917,0.1371450085086296,0.8130898917143383,-0.00048249768943429917
liveJournal-top2,0.015352277255254006,0.045964113573977235,0.9684267316262927,0.028605375234655124,0.05903740800742434,0.03850167300527118,0.968426734265478
citeseer,-0.005822847047284368,0.1494857131799407,0.24968570973458562,0.24683441126364994,-0.008240083422395836,0.23422884137843175,0.2930018188900194
cora,0.01860625363021726,0.16336566093859112,0.21834433249011367,0.2097216890258422,-0.0013916857834775458,0.16985108545389074,-0.012934898245668219
mnist,0.15574915425178856,0.46131491760547066,0.7691365861808197,0.587547910860078,0.7951241811052752,0.6263021765824142,0.7307103763504782
fashionmnist,0.02564111572968017,0.25274476160465975,0.4800246005171956,0.4314990157903237,0.40626707764406483,0.3438784531668252,0.4432666640790209
cifar10,0.007324768604606356,0.34348382289853385,0.578886506296411,0.3143040004179567,0.2624589199170705,0.3998865838240205,0.47534672004027423
