name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.013747954173486088,0.0,0.0003273322422258751,0.0,0.01571194762684124,0.0,0.0
liveJournal-top2,0.0,0.0002892263195950484,1.1102230246251565e-16,0.0,0.0,0.0,1.1102230246251565e-16
citeseer,0.003422837930856461,0.00023217912253869225,0.14155261220784876,0.0,0.011458614053734158,0.0,0.0
cora,0.003143987925090481,0.013440884827777696,0.0013224689517227276,0.0001609657947686305,0.006878345470976737,0.001774278284510944,0.0025246498416673
mnist,0.005854775828330231,0.01674252071821922,3.999999999999559e-05,4.898979485565816e-05,0.00011661903789690316,0.0015600000000000056,4.898979485565817e-05
fashionmnist,0.01157832457655252,0.010895577084303523,0.0009645724441430005,0.00013564659966249044,0.03479336718399068,0.0,6.324555320336061e-05
cifar10,0.008423633420324029,0.03242249836147733,0.0001599999999999824,0.0,0.02157289039512324,0.005399036951160813,0.0002799999999999692
