name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.16437464964947343,0.7222247707852861,0.5502210825453607,0.721057911776994,0.21577829682757427,0.7231045381334309,0.00461177376718195
liveJournal-top2,0.08125505586025004,0.12080821199457496,0.9338197267993703,0.08229473185991834,0.16267915480396702,0.127551025847751,0.9348431793190407
citeseer,0.09600612593074434,0.21925002960932988,0.24567772271939603,0.3105478761679912,0.11208954923514336,0.27234703428180046,0.35597428638306394
cora,0.17267762111723572,0.2763845679895877,0.37658298384212513,0.36511896103404917,0.09346269657500376,0.2643128703088593,0.11903517768709113
mnist,0.5055239537349814,0.6094204957504118,0.7880369382939776,0.7262521579276688,0.8387023548734776,0.6963825120072813,0.8183353759463532
fashionmnist,0.23852603412195378,0.456120430642204,0.6448308608282984,0.6042638879076052,0.5857631475147425,0.518601516344781,0.6269119727872814
cifar10,0.13328247229821516,0.5034924079088843,0.7165834524410868,0.5998293136291415,0.5606566057088235,0.5796225094092681,0.6963951605081824
