name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.0091157210620953,0.0,0.0010186932304594887,8.599750569898517e-17,0.0356175017849337,0.0,0.0
liveJournal-top2,0.0,0.00038169923504697835,0.0,0.0,0.0,0.0,8.599750569898517e-17
citeseer,0.009220183903047071,4.503819192281158e-05,0.12378813709100564,4.2998752849492583e-17,0.009652584345113853,3.510833468576701e-17,5.551115123125783e-17
cora,0.0015126366701048984,0.014323532094813251,0.0039428052302954,0.0002697060144525143,0.007930748055770672,0.006381674778067922,0.001548651208492548
mnist,0.007639007564713559,0.008880956494067551,5.518855132843884e-05,6.829322183522123e-05,1.3785362685830268e-05,0.0037817078323839405,8.190200885420169e-05
fashionmnist,0.019678409469100617,0.01241889409349152,0.00016010940772785514,7.939826016732075e-05,0.014794990772190295,7.021666937153402e-17,8.740296414306712e-05
cifar10,0.010451496092019159,0.010412710459410978,9.309926812256508e-05,0.0,0.011733054195930988,0.0034783999894028375,0.0002690007044420573
