name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.1643746496494734,0.7222247707852861,0.549711735930131,0.721057911776994,0.19930959176261145,0.7231045381334309,0.00461177376718195
liveJournal-top2,0.08125505586025004,0.12061736237705148,0.9338197267993703,0.08229473185991834,0.8759983793558204,0.127551025847751,0.9348431793190407
citeseer,0.09000206968940037,0.21916134965742845,0.19392395378528066,0.3105478761679912,0.15845471942957726,0.2723470342818004,0.355974286383064
cora,0.17184524221302072,0.27961813615696424,0.378918025453991,0.3651189610340492,0.06210825197122645,0.26170756249041666,0.11903517768709113
mnist,0.5115409166930476,0.6116322681793144,0.7879527954569854,0.7261977017716494,6.777363854797144e-06,0.6925612568942111,0.8182703415536154
fashionmnist,0.22583376763147012,0.4439089139173869,0.6448121133378095,0.6066799425858536,0.579525736165811,0.5186015163447809,0.6268895896948138
cifar10,0.1424954607698492,0.4984931960675902,0.7166300020751482,0.5998293136291415,0.510305404129736,0.579622509409268,0.6963731905163988
