name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.6289689034369885,0.9500818330605565,0.9057283142389526,0.9500818330605565,0.6492635024549918,0.9509001636661211,0.5171849427168577
liveJournal-top2,0.5636297903109183,0.6078814172089662,0.9920462762111353,0.5856832971800434,0.9804772234273319,0.599060014461316,0.9920462762111353
citeseer,0.2733649289099526,0.37554502369668247,0.44635071090047396,0.5644549763033175,0.3337440758293839,0.514218009478673,0.5819905213270142
cora,0.3370623742454728,0.36901408450704226,0.47002012072434607,0.47356136820925554,0.3022937625754527,0.42108651911468814,0.27492957746478874
mnist,0.44353999999999993,0.5427,0.8834199999999999,0.7435599999999999,0.11317999999999999,0.78688,0.78454
fashionmnist,0.22278000000000003,0.41272000000000003,0.63206,0.60976,0.59706,0.5018,0.6025
cifar10,0.17182,0.4340400000000001,0.74458,0.5819,0.49307999999999996,0.61708,0.7123400000000001
