name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.013747954173486088,0.0,1.1102230246251565e-16,0.0,0.009220665152866311,0.0,0.0
liveJournal-top2,0.0,0.0003542284515955002,1.1102230246251565e-16,0.0,0.0003233648557483535,0.0,1.1102230246251565e-16
citeseer,0.007744719702678878,0.00023217912253869225,0.11467094712053034,0.0,0.008385277935392031,0.0,0.0
cora,0.003942840632246563,0.011067495829981492,0.0032632812768955046,0.0001609657947686305,0.014075075888096046,0.001774278284510944,0.0025246498416673
mnist,0.033515405413033564,0.014852286019330505,3.999999999999559e-05,0.0,0.08121769757879128,0.0019436048981210181,4.898979485565817e-05
fashionmnist,0.010970943441655326,0.011351193769819997,0.0013184839779079626,0.007630098295566057,0.025401810959063523,0.0,3.999999999999559e-05
cifar10,0.012030727326309075,0.023328831946756366,0.0,0.0,0.04365887767682537,0.005399036951160813,0.00018330302779821341
