name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.01305790003491622,0.0,0.0,1.1102230246251565e-16,0.013550581319470376,1.1102230246251565e-16,5.421010862427522e-20
liveJournal-top2,0.0,0.0003072172101198892,0.0,0.0,0.00031692959284265347,0.0,1.1102230246251565e-16
citeseer,0.0020706669823140978,5.281105693658842e-05,0.1213993029348038,0.0,0.0017184731510428446,0.0,0.0
cora,0.0019917494777921883,0.008518875675349778,0.008514073720793533,0.00022510204248278322,0.007436675393817509,0.0029339475247132647,0.0003467348386665311
mnist,0.01249336153739667,0.014117790698215208,6.276576806532042e-05,0.0,0.07353488558707862,0.002476789471548851,9.396186785738795e-05
fashionmnist,0.0045054969034026005,0.011205747848808515,0.0008276608811308296,0.012594775117544461,0.02316816158068949,0.0,6.853770509911427e-05
cifar10,0.0016988103305103507,0.012362245279370333,0.0,0.0,0.02400047734525234,0.004886551418511837,0.0002798731797861461
