name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.005957205741034411,0.0012787197020961562,0.011851545264430632,0.015521293327361773,0.008730735987641394,0.006851733586609196,0.00800302499223432
liveJournal-top2,0.002684339554527752,0.01621323055415641,0.03339035157967452,0.021613690449638855,0.008076274402863137,0.018882623825581073,0.006975115624761048
citeseer,0.0026746731388284507,0.039967608242881064,0.04609134590738819,0.010960933282230757,0.017481841512789097,0.05560011886599169,0.009444130988705111
cora,0.0015566971052610192,0.03753238757007682,0.04013325090357293,0.038879008941498865,0.045853115489925364,0.11622251561824218,0.02278586665772821
mnist,0.009476554440427753,0.16856132889463138,6.01174601175244,0.38903467219500204,0.27843639896432204,9.868421962214114,0.047233354618847236
fashionmnist,0.011977477678025154,0.09001459639769534,3.3227071074623646,0.3236921774983874,0.3633409369588493,2.9192873861225177,0.284433467354744
cifar10,0.009054850962973903,0.22167986531985054,6.824945725166956,0.3374844439133653,0.19976211158490192,1.1445537314629286,0.03792851190762585
