name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.009115721062095307,0.0,0.0,4.965068306494546e-17,0.0013760820833989614,0.0,0.0
liveJournal-top2,0.0,0.0004674841805378794,0.0,0.0,0.00043108396555965254,0.0,4.965068306494546e-17
citeseer,0.0059581661528689735,0.00012412766427918475,0.10224540433834826,2.482534153247273e-17,0.0077789668683493195,0.0,2.482534153247273e-17
cora,0.0017831225766908835,0.01773135328077517,0.006359765474135132,0.00026970601445247544,0.026029294508765805,0.00638167477806795,0.0015486512084925263
mnist,0.01299483501844342,0.005801391763174929,3.228524931429e-05,0.0,0.028124879320780147,0.00466405721423178,0.00016155254782389158
fashionmnist,0.01730376176826309,0.007986436234460707,0.00030756025354867957,0.004768218155905092,0.030881840389730734,4.965068306494546e-17,6.470652709118507e-05
cifar10,0.01805231552914903,0.005246150820976614,8.599750569898517e-17,4.965068306494546e-17,0.01373920578455101,0.0034783999894028167,0.0001526299173735543
