name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.0013897463027365974,0.005276036683070872,0.02668312571684587,0.0059122379296064785,0.015039088090182607,0.0068210716269063035,0.0023302013582990914
liveJournal-top2,0.0023740256469792216,0.020033409958674857,0.020746242488973856,0.053389804954862626,0.01492277559639044,0.04150125597978454,0.010914844549314092
citeseer,0.010640996316942382,0.0177270471577853,0.0387797314724899,0.018457128007632773,0.01624562049873741,0.019511009879791062,0.011381227195905286
cora,0.004304876284193569,0.05469440195890347,0.0791050245543094,0.03633750722403399,0.02347845207210252,0.26516146641794447,0.01590187730980603
mnist,0.031438984140351844,0.17303061018231328,6.792593509854668,0.5006745734498738,0.4224585705404097,11.149268615201612,0.059744180795766245
fashionmnist,0.006400359356584116,0.11328613807210046,5.417325903512209,0.2690544061465991,0.4182661558339622,2.613945055936448,0.0982989581232836
cifar10,0.007561631657465767,0.4685054200494698,3.4066541092159897,0.3707310418625149,0.6713492404518384,2.2428663769704342,0.049107448139883304
