name,sbm,dcbm,pabm,osc,tcsc,r-tcsc,gspc,sklearn
politicalBlogs,0.16437464964947343,0.7222247707852861,0.5502210825453607,0.721057911776994,0.21607893045839024,0.4696954411627937,0.7231045381334309,0.00461177376718195
liveJournal-top2,0.08125505586025004,0.12118991122962193,0.9338197267993703,0.08229473185991834,0.8759983793558204,0.6715130454389695,0.127551025847751,0.9348431793190407
citeseer,0.09226790819780235,0.21926159852297902,0.2441587816064641,0.3105478761679911,0.15471473560305032,0.18329024344579517,0.2723470342818004,0.35597428638306405
cora,0.17196992073861928,0.2791326638762237,0.3773148002518049,0.36498410802682296,0.06345732323166531,0.1354223634849876,0.2617075624904167,0.11989338650721629
mnist,0.4885923556433937,0.6179240802237244,0.7880530809186349,0.726061540507474,4.875060740844216e-05,0.28324354665979135,0.692561256894211,0.8183043286464613
fashionmnist,0.24640841658621265,0.4573131479364842,0.6449984527383039,0.6066838927956605,0.5770171841523654,0.5581230053506394,0.5186015163447809,0.6268796195237358
cifar10,0.12608428325298898,0.5079937319371921,0.7166765517092094,0.5998300838327663,0.5097076087404504,0.5177188112418494,0.5813360524243631,0.6962953024120424
