name,sbm,dcbm,pabm,osc,tcsc,r-tcsc,gspc,sklearn
politicalBlogs,0.6289689034369885,0.9500818330605565,0.9058919803600654,0.9500818330605565,0.6574468085106383,0.8631751227495907,0.9509001636661211,0.5171849427168577
liveJournal-top2,0.5636297903109183,0.6083152566883585,0.9920462762111353,0.5856832971800434,0.9804772234273319,0.9320318148951554,0.599060014461316,0.9920462762111353
citeseer,0.26398104265402844,0.37554502369668247,0.5045497630331754,0.5644549763033175,0.32739336492890997,0.35649289099526066,0.514218009478673,0.5819905213270142
cora,0.33674044265593556,0.3629778672032193,0.4695372233400402,0.47348088531187127,0.3021327967806841,0.269215291750503,0.42108651911468814,0.27267605633802816
mnist,0.3881,0.56178,0.8835,0.7434799999999999,0.11326,0.28296,0.78688,0.78454
fashionmnist,0.21526,0.40628000000000003,0.632,0.6097400000000001,0.57204,0.58582,0.5018,0.6025
cifar10,0.1603,0.4673,0.74466,0.5819,0.4949199999999999,0.53754,0.6188999999999999,0.7122600000000001
