name,sbm,dcbm,pabm,osc,tcsc,r-tcsc,gspc,sklearn
politicalBlogs,0.009115721062095307,0.0,0.0,8.599750569898517e-17,0.028558100402508717,0.020639416583712333,0.0,0.0
liveJournal-top2,0.0,0.00038169923504697694,0.0,0.0,0.0,0.0,0.0,8.599750569898517e-17
citeseer,0.015733790952994445,0.00013554960598766654,0.10044819646143244,2.482534153247273e-17,0.01122219794888748,0.016841827625936605,4.2998752849492583e-17,8.599750569898517e-17
cora,0.0016300924942089523,0.009979070962105653,0.003726394781956018,0.00033032105798413514,0.00427062483844681,0.034563734165679046,0.00638167477806795,0.0007864891041886243
mnist,0.017844215638383305,0.011060612048816022,7.021666937153402e-17,0.00015563847185452156,6.39387667136015e-05,0.04350370988866361,0.0037817078323839626,0.00013292436526945875
fashionmnist,0.022529230973864885,0.006437247273696563,0.0003799910528222635,7.887843962035466e-05,0.028122348001979026,0.017973020589775044,9.930136612989092e-17,9.930136612989092e-17
cifar10,0.01928536992834025,0.0015891022000139696,0.00011402285116346283,1.5404072495006639e-06,0.01371897719066191,0.026428303263700333,0.001900038129316983,7.104216561675019e-05
