name,sbm,dcbm,pabm,osc,tcsc,r-tcsc,gspc,sklearn
politicalBlogs,0.06605988126961279,0.8101380229389481,0.6587140405964398,0.8101381188525917,0.09871221217879507,0.5283672834851775,0.8130898917143383,-0.00048249768943429917
liveJournal-top2,0.015352277255254006,0.04621495537564228,0.9684267316262927,0.028605375234655124,0.9234057731729349,0.7465135496750701,0.03850167300527118,0.968426734265478
citeseer,-0.007430722793999453,0.14948360043827036,0.254760313355285,0.24683441126364994,0.0319299002930712,0.05432283971868675,0.23422884137843175,0.2930018188900194
cora,0.019278962298356035,0.15662689436046748,0.2156750236267709,0.20960913800460085,0.0010084180407245423,-0.009924206696563112,0.16865330639261586,-0.013234210369107
mnist,0.1426466996080494,0.4734034872579095,0.7691679690648523,0.5872621054880278,3.162793031657384e-06,0.08906778055171735,0.6242617288608848,0.7307053137057632
fashionmnist,0.0289275858932525,0.2572035729685792,0.4801821985190955,0.437814045488466,0.43439938294104347,0.43878327789357907,0.3438784531668252,0.44323239522647134
cifar10,0.006399722915322805,0.354409120013629,0.5789927925088457,0.3143132055862674,0.3306526792529501,0.38425908155763555,0.400726357549264,0.47517865001818504
