name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.011164432619837515,0.0,0.0,7.021666937153402e-17,0.003429536981680118,0.0,0.0
liveJournal-top2,0.0,0.0,0.0,0.0,0.031329206329896934,0.0,7.021666937153402e-17
citeseer,0.015574867400700732,0.005552959211492549,0.13297307194409505,2.482534153247273e-17,0.006587182742805193,2.482534153247273e-17,7.021666937153402e-17
cora,0.001566406443521362,0.021783648556981984,0.004637501603660943,0.0002697060144524644,0.01262316911135767,0.005470415608194472,0.0009632484967603958
mnist,0.009264761387230432,0.008983132608186175,3.353216765966643e-05,1.4895204919483638e-16,0.006904808116332691,0.0046559499109593405,0.00016166866590391405
fashionmnist,0.0059785276339019335,0.007110044270132574,0.0015795060407538058,0.00017990928795356834,0.016705839698605177,7.021666937153402e-17,4.965068306494546e-17
cifar10,0.014934594867953357,0.008326745288585685,0.00011402285116343565,0.0,0.02519152303662665,0.003457998774347701,6.675546604100473e-05
