name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.016837736366103678,0.0,1.1102230246251565e-16,0.0,0.008166923044107799,0.0,0.0
liveJournal-top2,0.0,0.0,1.1102230246251565e-16,0.0,0.03000853737495813,0.0,1.1102230246251565e-16
citeseer,0.009034125162042739,0.013177060137256514,0.14503144048959432,0.0,0.00700011391000448,0.0,0.0
cora,0.0033802816901408405,0.01350578798448484,0.0040209242645623386,0.0001609657947686305,0.015341230970526976,0.004835676100056279,0.0015771362528986196
mnist,0.02527681942017231,0.021521282489665863,3.999999999999559e-05,0.0,0.04359598146618561,0.0019353552645444757,6.324555320336061e-05
fashionmnist,0.012958333226152202,0.01646195614135817,0.0014759403781996218,0.00017204650534083358,0.016601397531533325,0.0,0.0
cifar10,0.011295592060622582,0.029206807425667055,0.00019595917942263267,0.0,0.03285206842803056,0.005381449618829453,7.999999999999118e-05
