name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.15525892858737814,0.7222247707852861,0.5502210825453607,0.721057911776994,0.2169831684493504,0.7231045381334309,0.00461177376718195
liveJournal-top2,0.08125505586025004,0.12042651275952798,0.9338197267993703,0.08229473185991834,0.14725663566377276,0.127551025847751,0.9348431793190407
citeseer,0.09336208723664932,0.22200408409766714,0.18446141063630575,0.3105478761679912,0.1180100298529378,0.27234703428180046,0.3559742863830639
cora,0.17200491085175323,0.2603770398035332,0.37657622257087875,0.36511896103404917,0.11143901764805253,0.2608109177626166,0.12028663105931059
mnist,0.5016513036229998,0.6143092036579945,0.7880131179115091,0.7262521579276691,0.8160586625171303,0.6944718844507463,0.8184045392169248
fashionmnist,0.23888994077634967,0.4588445143856659,0.6441553937765379,0.6067168927199282,0.5824448153978772,0.5186015163447809,0.6268796195237358
cifar10,0.1284351103366032,0.49286978841775086,0.7166765517092094,0.5998293136291415,0.568428381502702,0.5796345424766558,0.6962944423632113
