name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.6152209492635025,0.9500818330605565,0.9058919803600654,0.9500818330605565,0.6865793780687398,0.9509001636661211,0.5171849427168577
liveJournal-top2,0.5636297903109183,0.6077368040491685,0.9920462762111353,0.5856832971800434,0.6073752711496746,0.599060014461316,0.9920462762111353
citeseer,0.26312796208530803,0.3821800947867298,0.4412322274881516,0.5644549763033175,0.2581990521327014,0.514218009478673,0.5819905213270142
cora,0.3371428571428571,0.36539235412474846,0.4705835010060362,0.47356136820925554,0.29022132796780686,0.41931589537223335,0.2733199195171026
mnist,0.43278,0.55388,0.8834799999999999,0.7436,0.8077799999999999,0.7876799999999999,0.7846
fashionmnist,0.21583999999999998,0.4034,0.63134,0.60968,0.55234,0.5018,0.6025
cifar10,0.16183999999999998,0.42148,0.74466,0.5819,0.57984,0.6171,0.7122600000000001
