name,sbm,dcbm,pabm,osc,tcsc,gspc,sklearn
politicalBlogs,0.015992596098907692,0.0,0.0,1.1102230246251565e-16,0.01204858246099713,1.1102230246251565e-16,5.421010862427522e-20
liveJournal-top2,0.0,0.0,0.0,0.0,0.02042391743256499,0.0,1.1102230246251565e-16
citeseer,0.002802935600543648,0.011965888205058804,0.15145890303246404,0.0,0.0017113930862808124,0.0,0.0
cora,0.0017970942395476959,0.019691321838207647,0.010148409997424307,0.00022510204248278322,0.007478475956314923,0.002930713038561863,0.00029446848850247197
mnist,0.007006375285098359,0.017166457125835848,6.336311617791723e-05,0.0,0.025276342589386765,0.0024652798435508662,0.00012602809765504473
fashionmnist,0.0013565580138329189,0.0063045978788667965,0.0013043858468639222,0.00014574854839223133,0.017153150204897785,0.0,0.0
cifar10,0.0016209922554578865,0.017814099558491406,0.00013017349357899872,0.0,0.025657535074580747,0.0048840828229100575,0.00015156657244077664
